type of house,location,price,bedrooms,bathrooms,toilets,parking_space
2 bedroom block of flats for sale,"Amity Estate, Abijo, Lekki, Lagos","₦52,000,000",2.0,2.0,3.0,
2 bedroom block of flats for sale,"Ologolo, Lekki, Lagos","₦75,000,000",2.0,2.0,3.0,
Commercial land for sale,"Eleko, Ibeju Lekki, Lagos","₦197,000,000",,,,
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦205,000,000",2.0,2.0,3.0,2.0
4 bedroom semi-detached duplex for sale,"Olowora, Magodo, Lagos","₦150,000,000",4.0,4.0,5.0,4.0
Mixed-use land for sale,"Epe, Lagos","₦2,300,000",,,,
3 bedroom block of flats for sale,"Gbagada, Lagos","₦150,000,000",3.0,4.0,4.0,3.0
Residential land for sale,"Strategically Located Facing Omi Adio - Ido Expressway, Ibadan, Oyo","₦10,200,000",,,,24.0
5 bedroom detached duplex for sale,"In A Highly Secured Estate In Ikate, Lekki, Lagos","₦930,000,000",5.0,6.0,6.0,5.0
5 bedroom detached duplex for sale,"In A Secured And Serene Neighbourhood In Ajah, Lekki, Lagos","₦550,000,000",5.0,6.0,6.0,5.0
Land for sale,"Ikorodu, Lagos","₦2,300,000",,,,
4 bedroom house for sale,"Ipaja, Lagos","₦110,000,000",4.0,4.0,4.0,
4 bedroom semi-detached duplex for sale,"Off Command Road, Ipaja, Lagos","₦110,000,000",4.0,,5.0,
4 bedroom terraced duplex for sale,"Gra, Ogudu, Lagos","₦180,000,000",4.0,5.0,5.0,4.0
3 bedroom house for sale,"Gbagada, Gbagada, Lagos","₦120,000,000",3.0,3.0,3.0,
Commercial land for sale,"Omole Phase 2, Ikeja, Lagos","₦550,000,000",,,,
2 bedroom block of flats for sale,"Ikate, Lekki, Lagos","₦160,000,000",2.0,2.0,3.0,
3 bedroom detached bungalow for sale,"Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,
3 bedroom terraced duplex for sale,"Abijo Gra, Abijo, Lekki, Lagos","₦105,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Ikate, Lekki, Lagos","₦890,000,000",5.0,5.0,6.0,4.0
Residential land for sale,"Gilmore, Jahi, Abuja","₦400,000,000",,,,
4 bedroom terraced duplex for sale,"Durumi, Abuja","₦200,000,000",4.0,5.0,5.0,4.0
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","₦550,000,000",5.0,5.0,6.0,3.0
4 bedroom semi-detached duplex for sale,"Opebi, Ikeja, Lagos","₦250,000,000",4.0,4.0,5.0,2.0
5 bedroom terraced duplex for sale,"Durumi, Abuja","₦250,000,000",5.0,5.0,5.0,4.0
4 bedroom detached duplex for sale,"Opebi, Ikeja, Lagos","₦350,000,000",4.0,4.0,5.0,3.0
4 bedroom detached duplex for sale,"Lekki, Lagos","₦250,000,000",4.0,,5.0,
4 bedroom terraced duplex for sale,"Kaura, Abuja","₦120,000,000",4.0,5.0,5.0,
4 bedroom terraced duplex for sale,"Ogudu Gra, GRA, Ogudu, Lagos","₦180,000,000",4.0,4.0,5.0,2.0
3 bedroom block of flats for sale,"3, Olasumbo Taiwo Street, Bakare Estate, Agungi, Lekki, Lagos","₦375,000,000",3.0,3.0,4.0,
2 bedroom flat / apartment for sale,"Ogba, Ikeja, Lagos","₦100,000,000",2.0,2.0,3.0,2.0
4 bedroom terraced duplex for sale,"Gaduwa, Abuja","₦190,000,000",4.0,5.0,5.0,
3 bedroom flat / apartment for sale,"Wuye, Abuja","₦150,000,000",3.0,4.0,4.0,
4 bedroom detached duplex for sale,"Within A Serviced Estate, Ikota, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,3.0
4 bedroom terraced duplex for sale,"Lokogoma District, Abuja","₦190,000,000",4.0,5.0,5.0,
3 bedroom semi-detached duplex for sale,"GRA Phase 1, Magodo, Lagos","₦110,000,000",3.0,3.0,4.0,3.0
5 bedroom semi-detached duplex for sale,"Within A Call To Access Estate, Ajah, Lekki, Lagos","₦125,000,000",5.0,5.0,6.0,2.0
4 bedroom detached duplex for sale,"GRA Phase 1, Magodo, Lagos","₦300,000,000",4.0,4.0,5.0,4.0
5 bedroom semi-detached duplex for sale,"GRA Phase 1, Magodo, Lagos","₦400,000,000",5.0,5.0,6.0,6.0
4 bedroom detached duplex for sale,"Ogba, Ikeja, Lagos","₦300,000,000",4.0,4.0,5.0,3.0
4 bedroom detached duplex for sale,"Akinwunmi Estate, Maryland, Lagos","₦350,000,000",4.0,,,
Land for sale,"Alpha Beach Road Igbon Efon, Lekki, Lagos","₦350,000,000",,,,
4 bedroom semi-detached duplex for sale,"Anthony, Anthony, Maryland, Lagos","₦270,000,000",4.0,4.0,5.0,3.0
16 bedroom detached bungalow for sale,"Ikorodu, Lagos","₦60,000,000",16.0,16.0,16.0,
Land for sale,"Twin Lake Estate, Lekki, Lagos","$450,000",,,,
4 bedroom terraced duplex for sale,"Ikoyi Lagos, Ikoyi, Lagos","$750,000",4.0,5.0,6.0,4.0
5 bedroom house for sale,"Next To American Embassy, Eko Atlantic City, Lagos","$2,000,000",5.0,5.0,3.0,8.0
5 bedroom detached duplex for sale,"Magodo Gra 2, GRA Phase 2, Magodo, Lagos","₦370,000,000",5.0,5.0,6.0,3.0
3 bedroom flat / apartment for sale,"Gbagada, Lagos","₦110,000,000",3.0,3.0,4.0,2.0
3 bedroom semi-detached duplex for sale,"Atlantic Layout Estate, Lekki, Lagos","₦70,000,000",3.0,3.0,1.0,4.0
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","₦530,000,000",5.0,5.0,6.0,4.0
3 bedroom semi-detached duplex for sale,"Magodo Phase 1, Olowora, Magodo, Lagos","₦130,000,000",3.0,3.0,3.0,2.0
Mixed-use land for sale,"Off Funnab Road Alabata, Abeokuta South, Ogun","₦3,000,000",,,,
5 bedroom semi-detached duplex for sale,"Magodo Gra Phase 2, GRA Phase 2, Magodo, Lagos","₦350,000,000",5.0,5.0,6.0,3.0
14 bedroom detached duplex for sale,"Off Ligali Ayorinde Street, Victoria Island Lagos, Victoria Island (VI), Lagos","₦2,400,000,000",14.0,16.0,18.0,15.0
