price,bedrooms,bathrooms,toilets,parking_space,state,town,price_log,house_category,price_per_bedroom,total_faclities
110000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.5159909328476,Terraced Duplex,55000000.0,9.0
300000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,19.519293035953808,Apartment Flat,100000000.0,12.0
90000000.0,1.0,1.0,2.0,1.0,Lagos,Lekki,18.31532023940565,Apartment Flat,90000000.0,5.0
155000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.858935681335133,Apartment Flat,77500000.0,9.0
90000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.31532023940565,standard house,30000000.0,12.0
75000000.0,1.0,1.0,2.0,2.0,Lagos,Lekki,18.132998684833918,Apartment Flat,75000000.0,6.0
380000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.755681813316283,Detached Duplex,76000000.0,20.0
130000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,18.683045016112164,Apartment Flat,32500000.0,15.0
140000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.757152987716434,Terraced Duplex,35000000.0,16.0
330000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,19.6146032154551,Apartment Flat,110000000.0,12.0
350000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.673443715304877,Detached Duplex,70000000.0,20.0
330000000.0,5.0,5.0,6.0,3.0,Lagos,Lekki,19.6146032154551,Detached Duplex,66000000.0,19.0
270000000.0,3.0,3.0,4.0,4.0,Lagos,Lekki,19.413932520666354,Detached Bungalow,90000000.0,14.0
100000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.420680753952364,Apartment Flat,50000000.0,9.0
75000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.132998684833918,Terraced Duplex,25000000.0,12.0
165000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.92145603792546,Apartment Flat,55000000.0,12.0
260000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.376192192825954,Detached Duplex,65000000.0,16.0
350000000.0,4.0,5.0,6.0,3.0,Lagos,Lekki,19.673443715304877,Detached Duplex,87500000.0,18.0
130000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.683045016112164,Apartment Flat,43333333.333333336,12.0
75000000.0,1.0,1.0,2.0,2.0,Lagos,Lekki,18.132998684833918,Apartment Flat,75000000.0,6.0
120000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.603002309079653,Apartment Flat,60000000.0,9.0
380000000.0,6.0,6.0,7.0,6.0,Lagos,Lekki,19.755681813316283,Detached Duplex,63333333.333333336,25.0
180000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.00846741441004,Detached Duplex,45000000.0,16.0
230000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,19.253589871235295,Apartment Flat,115000000.0,9.0
